hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
สำนักงานสาธารณสุขอำเภอหล่มเก่า,00711,อื่นๆ,,,2,67,67-เพชรบูรณ์,6704,04-หล่มเก่า,670401,01-หล่มเก่า
สำนักงานสาธารณสุขอำเภอบึงสามพัน,00715,อื่นๆ,02-สำนักงานสาธารณสุขอำเภอ,,2,67,67-เพชรบูรณ์,6708,08-บึงสามพัน,670809,09-บึงสามพัน
สำนักงานสาธารณสุขอำเภอจอมบึง,00720,อื่นๆ,,,5,70,70-ราชบุรี,7002,02-จอมบึง,700201,01-จอมบึง
สำนักงานสาธารณสุขอำเภอสวนผึ้ง,00721,อื่นๆ,,,5,70,70-ราชบุรี,7003,03-สวนผึ้ง,700301,01-สวนผึ้ง
สำนักงานสาธารณสุขอำเภอบ้านโป่ง,00723,อื่นๆ,,,5,70,70-ราชบุรี,7005,05-บ้านโป่ง,700508,08-สวนกล้วย
สำนักงานสาธารณสุขอำเภอบางแพ,00724,อื่นๆ,,,5,70,70-ราชบุรี,7006,06-บางแพ,700601,01-บางแพ
สำนักงานสาธารณสุขอำเภอโพธาราม,00725,อื่นๆ,,,5,70,70-ราชบุรี,7007,07-โพธาราม,700701,01-โพธาราม
สำนักงานสาธารณสุขอำเภอปากท่อ,00726,อื่นๆ,,,5,70,70-ราชบุรี,7008,08-ปากท่อ,700803,03-ดอนทราย
สำนักงานสาธารณสุขอำเภอทับคล้อ,00704,อื่นๆ,,,3,66,66-พิจิตร,6608,08-ทับคล้อ,660801,01-ทับคล้อ
สำนักงานสาธารณสุขอำเภอบางมูลนาก,00701,อื่นๆ,,,3,66,66-พิจิตร,6605,05-บางมูลนาก,660501,01-บางมูลนาก
สำนักงานสาธารณสุขอำเภอวังทรายพูน,00698,อื่นๆ,,,3,66,66-พิจิตร,6602,02-วังทรายพูน,660203,03-หนองพระ
สำนักงานสาธารณสุขอำเภอตะพานหิน,00700,อื่นๆ,,,3,66,66-พิจิตร,6604,04-ตะพานหิน,660401,01-ตะพานหิน
สำนักงานสาธารณสุขอำเภอโพทะเล,00702,อื่นๆ,,,3,66,66-พิจิตร,6606,06-โพทะเล,660601,01-โพทะเล
สำนักงานสาธารณสุขอำเภอโพธิ์ประทับช้าง,00699,อื่นๆ,,,3,66,66-พิจิตร,6603,03-โพธิ์ประทับช้าง,660301,01-โพธิ์ประทับช้าง
สำนักงานสาธารณสุขอำเภอสามง่าม,00703,อื่นๆ,,,3,66,66-พิจิตร,6607,07-สามง่าม,660701,01-สามง่าม
สำนักงานสาธารณสุขอำเภอสากเหล็ก,00705,อื่นๆ,,,3,66,66-พิจิตร,6609,09-สากเหล็ก,660901,01-สากเหล็ก
สำนักงานสาธารณสุขอำเภอดงเจริญ,00707,อื่นๆ,,,3,66,66-พิจิตร,6611,11-ดงเจริญ,661101,01-วังงิ้วใต้
สำนักงานสาธารณสุขอำเภอบางปลาม้า,00745,อื่นๆ,,,5,72,72-สุพรรณบุรี,7204,04-บางปลาม้า,720401,01-โคกคราม
สำนักงานสาธารณสุขอำเภอศรีประจันต์,00746,อื่นๆ,,,5,72,72-สุพรรณบุรี,7205,05-ศรีประจันต์,720501,01-ศรีประจันต์
สำนักงานสาธารณสุขอำเภอสองพี่น้อง,00748,อื่นๆ,,,5,72,72-สุพรรณบุรี,7207,07-สองพี่น้อง,720708,08-เนินพระปรางค์
สำนักงานสาธารณสุขอำเภอหนองหญ้าไซ,00751,อื่นๆ,,,5,72,72-สุพรรณบุรี,7210,10-หนองหญ้าไซ,721001,01-หนองหญ้าไซ
สำนักงานสาธารณสุขอำเภอเมืองนครปฐม,00752,อื่นๆ,,,5,73,73-นครปฐม,7301,01-เมืองนครปฐม,730101,01-พระปฐมเจดีย์
สำนักงานสาธารณสุขอำเภอกำแพงแสน,00753,อื่นๆ,,,5,73,73-นครปฐม,7302,02-กำแพงแสน,730212,12-กำแพงแสน
สำนักงานสาธารณสุขอำเภอบ้านคา,00728,อื่นๆ,,,5,70,70-ราชบุรี,7010,10-บ้านคา,701001,01-บ้านคา
สำนักงานสาธารณสุขอำเภอดำเนินสะดวก,00722,อื่นๆ,,,5,70,70-ราชบุรี,7004,04-ดำเนินสะดวก,700402,02-ประสาทสิทธิ์
สำนักงานสาธารณสุขอำเภอดอนเจดีย์,00747,อื่นๆ,,,5,72,72-สุพรรณบุรี,7206,06-ดอนเจดีย์,720601,01-ดอนเจดีย์
สำนักงานสาธารณสุขอำเภออู่ทอง,00750,อื่นๆ,,,5,72,72-สุพรรณบุรี,7209,09-อู่ทอง,720901,01-อู่ทอง
สำนักงานสาธารณสุขอำเภอวิเชียรบุรี,00712,อื่นๆ,,,2,67,67-เพชรบูรณ์,6705,05-วิเชียรบุรี,670501,01-ท่าโรง
สำนักงานสาธารณสุขอำเภอศรีเทพ,00713,อื่นๆ,,,2,67,67-เพชรบูรณ์,6706,06-ศรีเทพ,670602,02-สระกรวด
สำนักงานสาธารณสุขอำเภอหนองไผ่,00714,อื่นๆ,,,2,67,67-เพชรบูรณ์,6707,07-หนองไผ่,670710,10-หนองไผ่
สำนักงานสาธารณสุขอำเภอน้ำหนาว,00716,อื่นๆ,,,2,67,67-เพชรบูรณ์,6709,09-น้ำหนาว,670901,01-น้ำหนาว
สำนักงานสาธารณสุขอำเภอเขาค้อ,00718,อื่นๆ,,,2,67,67-เพชรบูรณ์,6711,11-เขาค้อ,671103,03-เขาค้อ
