hosname,hoscode,hsector,hostype,yeartransfer,region,pvcode,pvname,ampcode,ampname,tumcode,tumbonname
รพ.ตุลาการเฉลิมพระเกียรติ ,23987,อื่นๆ,12-โรงพยาบาล นอก สธ.,,5,73,73-นครปฐม,7307,07-พุทธมณฑล,730702,02-คลองโยง
คลินิกหมอครอบครัว รพ.เทศบาล เครือข่ายรพ.สระบุรี,77514,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,4,19,19-สระบุรี,1901,01-เมืองสระบุรี,190101,01-ปากเพรียว
ศูนย์บริการสาธารณสุขแห่งที่ 2 เทศบาลเมืองบางศรีเมือง,77473,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,4,12,12-นนทบุรี,1201,01-เมืองนนทบุรี,120107,07-บางศรีเมือง
ศูนย์สุขภาพชุมชนควนเนียง,77513,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,12,90,90-สงขลา,9013,13-ควนเนียง,901301,01-รัตภูมิ
ศูนย์สุขภาพชุมชนรพ.น้ำยืน,77512,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,10,34,34-อุบลราชธานี,3409,09-น้ำยืน,340907,07-สีวิเชียร
รพสต.นิบงบารู,77684,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,12,95,95-ยะลา,9501,01-เมืองยะลา,950116,16-สะเตงนอก
คลินิกหมอครอบครัวรพ.ระยอง(เนินพระ),77511,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,6,21,21-ระยอง,2101,01-เมืองระยอง,210109,09-เนินพระ
สถานพยาบาลสถานกักขังกลางจังหวัดร้อยเอ็ด,41376,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,7,45,45-ร้อยเอ็ด,4501,01-เมืองร้อยเอ็ด,450120,20-ดงลาน
สถานพยาบาลสถานกักขังกลางจังหวัดลำปาง,41377,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520107,07-กล้วยแพะ
สถานพยาบาลสถานกักขังกลางจังหวัดนครศรีธรรมราช,41378,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,11,80,80-นครศรีธรรมราช,8020,20-พระพรหม,802001,01-นาพรุ
รพสต.บ้านดอนธรรม ตำบลใหม่พัฒนา,06157,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520309,09-ใหม่พัฒนา
รพสต.บ้านฮ่องห้า ตำบลน้ำโจ้,06222,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521006,06-น้ำโจ้
รพสต.บ้านแพะดอกเข็ม ตำบลแม่พริก,06212,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5209,09-แม่พริก,520901,01-แม่พริก
รพสต.บ้านจอมปิง ตำบลนาแก้ว,06150,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5203,03-เกาะคา,520302,02-นาแก้ว
รพสต.บ้านนิคม เขต7 ตำบลนิคมพัฒนา,06139,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520118,18-นิคมพัฒนา
รพสต.บ้านกอรวก ตำบลจางเหนือ,06143,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5202,02-แม่เมาะ,520203,03-จางเหนือ
ศูนย์บริการสาธารณสุขลำปางหลวง ตำบลลำปางหลวง,06147,อื่นๆ,13-ศูนย์บริการสาธารณสุข,2560,1,52,52-ลำปาง,5203,03-เกาะคา,520301,01-ลำปางหลวง
ศูนย์สุขภาพชุมชนเมืองม่อนกระทิง,77507,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520116,16-บ่อแฮ้ว
รพสต.บ้านกิ่วหลวง ตำบลบ้านกิ่ว,06220,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521004,04-บ้านกิ่ว
รพสต.บ้านบอมหลวง ตำบลบ้านบอม,06221,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521005,05-บ้านบอม
รพสต.บ้านเหล่า ตำบลเมืองยาว,06237,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521203,03-เมืองยาว
รพสต.บ้านหนองขาม  ตำบลหนองหล่ม,06235,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521202,02-หนองหล่ม
รพสต.บ้านอ้วน,06218,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521002,02-นาครัว
รพสต.บ้านไร่ ตำบลนายาง,06233,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5211,11-สบปราบ,521104,04-นายาง
รพสต.บ้านป่าไคร้ ตำบลหนองหล่ม,06234,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521202,02-หนองหล่ม
รพสต.บ้านปงกา ตำบลแม่กัวะ,06231,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5211,11-สบปราบ,521103,03-แม่กัวะ
รพสต.บ้านสองแควใต้ ตำบลนาแก้ว,06149,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520302,02-นาแก้ว
รพสต.บ้านไหล่หิน ตำบลไหล่หิน,06151,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520303,03-ไหล่หิน
รพสต.บ้านปงป่าป๋อ ตำบลเสริมขวา,06158,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520402,02-เสริมขวา
รพสต.บ้านแม่ต๋ำ ตำบลเสริมซ้าย,06160,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520403,03-เสริมซ้าย
รพสต.บ้านท่าโป่ง ตำบลเสริมซ้าย,06161,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520403,03-เสริมซ้าย
รพสต.บ้านดอกคำใต้ ตำบลแม่ตีบ,06174,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5205,05-งาว,520510,10-แม่ตีบ
รพสต.บ้านบ่อห้อ ตำบลบ้านแหง,06172,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5205,05-งาว,520508,08-บ้านแหง
รพสต.บ้านแม่ปุ ตำบลแม่ปุ,06214,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5209,09-แม่พริก,520903,03-แม่ปุ
รพสต.บ้านลานดอกไม้ตำบลลานดอกไม้ตก,07265,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2566,3,62,62-กำแพงเพชร,6211,11-โกสัมพีนคร,621103,03-ลานดอกไม้ตก
สำนักงานสาธารณสุขอำเภอเมืองอุดรธานี,00397,อื่นๆ,,,8,41,41-อุดรธานี,4101,01-เมืองอุดรธานี,410114,14-สามพร้าว
รพสต.บ้านใหม่ ตำบลดอนไฟ,06224,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521007,07-ดอนไฟ
รพสต.บ้านสา ตำบลบ้านสา,06176,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5206,06-แจ้ห่ม,520602,02-บ้านสา
รพสต.บ้านปงดอน ตำบลปงดอน,06177,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5206,06-แจ้ห่ม,520603,03-ปงดอน
รพสต.บ้านเด่นชัย ตำบลแม่วะ,06197,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520802,02-แม่วะ
รพสต.บ้านแม่ถอด ตำบลแม่ถอด,06208,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520807,07-แม่ถอด
รพสต.บ้านขาม ตำบลหัวเมือง,06250,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5213,13-เมืองปาน,521305,05-หัวเมือง
รพสต.บ้านหาดปู่ด้าย ตำบลนาแส่ง,14001,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5203,03-เกาะคา,520307,07-นาแส่ง
รพสต.บ้านแม่แป้น ตำบลนาแก,06169,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5205,05-งาว,520506,06-นาแก
รพสต.บ้านพร้าว ตำบลปงเตา,06168,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5205,05-งาว,520505,05-ปงเตา
รพสต.บ้านม่วง ตำบลแจ้ห่ม,06175,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5206,06-แจ้ห่ม,520601,01-แจ้ห่ม
รพสต.บ้านนางาม ตำบลเมืองมาย,06181,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5206,06-แจ้ห่ม,520605,05-เมืองมาย
รพสต.บ้านปงวัง ตำบลวังทรายคำ,06194,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5207,07-วังเหนือ,520708,08-วังทรายคำ
รพสต.บ้านเด่นแก้ว ตำบลล้อมแรด,06195,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520801,01-ล้อมแรด
รพสต.บ้านแม่มอกกลาง ตำบลแม่มอก,06200,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520804,04-แม่มอก
รพสต.บ้านกุ่มเนิ้ง ตำบลแม่มอก,06201,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520804,04-แม่มอก
รพสต.บ้านสะเลียมหวาน ตำบลเวียงมอก,06202,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520805,05-เวียงมอก
รพสต.บ้านนาเบี้ยหลวง ตำบลนาโป่ง,06207,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520806,06-นาโป่ง
รพสต.บ้านหนอง ตำบลน้ำโจ้,06223,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521006,06-น้ำโจ้
รพสต.บ้านหัวเสือ ตำบลหัวเสือ,06226,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521008,08-หัวเสือ
รพสต.บ้านข่วง ตำบลปงยางคก,06239,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521204,04-ปงยางคก
รพสต.บ้านยางอ้อย ตำบลเวียงตาล,06240,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521205,05-เวียงตาล
รพสต.บ้านนากวาง ตำบลดอนไฟ,06225,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521007,07-ดอนไฟ
รพสต.บ้านสามขา ตำบลหัวเสือ,06227,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521008,08-หัวเสือ
รพสต.บ้านแพะใหม่ ตำบลวังเงิน,06228,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5210,10-แม่ทะ,521010,10-วังเงิน
รพสต.บ้านสันหลวง ตำบลปงยางคก,06238,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521204,04-ปงยางคก
รพสต.บ้านป่าเหียง ตำบลแม่สัน,06242,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5212,12-ห้างฉัตร,521206,06-แม่สัน
รพสต.บ้านทุ่งข่วง ตำบลทุ่งกว๋าว,06246,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,1,52,52-ลำปาง,5213,13-เมืองปาน,521303,03-ทุ่งกว๋าว
รพสต.บ้านวังหิน ตำบลเถินบุรี,14003,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5208,08-เถิน,520808,08-เถินบุรี
รพสต.บ้านสบไพร ตำบลบ้านเป้า,14318,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520114,14-บ้านเป้า
ศูนย์สุขภาพชุมชนรพ.อ่าวลึก,99736,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,11,81,81-กระบี่,8105,05-อ่าวลึก,810501,01-อ่าวลึกใต้
รพสต.บ้านนาเอี้ยง ตำบลเสริมกลาง,06163,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5204,04-เสริมงาม,520404,04-เสริมกลาง
รพสต.บ้านต้นงุ้น ตำบลหัวเมือง,14004,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5213,13-เมืองปาน,521305,05-หัวเมือง
รพสต.บ้านนิคม เขต 16 ตำบลนิคมพัฒนา,14319,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,1,52,52-ลำปาง,5201,01-เมืองลำปาง,520119,19-บุญนาคพัฒนา
ศูนย์บริการสาธารณสุขโพธิพงษา บุญมณี อินทรัศมี(ชุมชนคลองเตย),23994,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9011,11-หาดใหญ่,901101,01-หาดใหญ่
ศูนย์บริการสาธารณสุขเทศบาลเมืองบ้านพรุ,14312,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9011,11-หาดใหญ่,901116,16-บ้านพรุ
ศูนย์บริการสาธารณสุขเพชรเกษม,23989,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9011,11-หาดใหญ่,901101,01-หาดใหญ่
ศูนย์บริการสาธารณสุขพ่อพรหมทองสองยอด,23997,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9011,11-หาดใหญ่,901101,01-หาดใหญ่
ศูนย์บริการสาธารณสุขนพสุวรรณ(ชุมชนอู่ ท.ส.),23995,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9011,11-หาดใหญ่,901101,01-หาดใหญ่
ศูนย์บริการสาธารณสุขเทศบาลเมืองคอหงส์(บ้านปลักธง),24004,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9011,11-หาดใหญ่,901104,04-คอหงส์
คลินิกเวชปฏิบัติครอบครัวรพ.หาดใหญ่,99774,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,12,90,90-สงขลา,9011,11-หาดใหญ่,901101,01-หาดใหญ่
รพ.สวนเบญจกิติเฉลิมพระเกียรติ84พรรษา,11532,อื่นๆ,12-โรงพยาบาล นอก สธ.,,13,10,10-กรุงเทพมหานคร,1033,33-คลองเตย,103301,01-คลองเตย
กองสนับสนุนระบบสุขภาพปฐมภูมิ,41391,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,4,12,12-นนทบุรี,1201,01-เมืองนนทบุรี,120102,02-ตลาดขวัญ
กองเศรษฐกิจสุขภาพและหลักประกันสุขภาพ,41122,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,4,12,12-นนทบุรี,1201,01-เมืองนนทบุรี,120102,02-ตลาดขวัญ
รพสต.สำนักตะคร้อ,02850,อื่นๆ,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,30,30-นครราชสีมา,3026,26-เทพารักษ์,302601,01-สำนักตะคร้อ
คลินิกหมอครอบครัวหนองตาหมู่,77506,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,9,31,31-บุรีรัมย์,3104,04-นางรอง,310401,01-นางรอง
ศูนย์บริการสาธารณสุขเทศบาลนครนครปฐม,14331,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,5,73,73-นครปฐม,7301,01-เมืองนครปฐม,730110,10-บ่อพลับ
สถานพยาบาลเรือนจำกลางคลองเปรม,41403,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,13,10,10-กรุงเทพมหานคร,1030,30-จตุจักร,103001,01-ลาดยาว
สุขศาลาบ้านม้งใหม่พัฒนา,77615,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,2,63,63-ตาก,6302,02-บ้านตาก,630207,07-ท้องฟ้า
รพ.กองบิน กองบิน1,14161,อื่นๆ,12-โรงพยาบาล นอก สธ.,,9,30,30-นครราชสีมา,3001,01-เมืองนครราชสีมา,300110,10-หนองไผ่ล้อม
ศูนย์สุขภาพชุมชนเมืององค์การบริหารส่วนจังหวัดสุราษฎร์ธานี,77504,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,11,84,84-สุราษฎร์ธานี,8401,01-เมืองสุราษฎร์ธานี,840101,01-ตลาด
ศูนย์สุขภาพชุมชนตำบลสะบ้าย้อย ,24646,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,90,90-สงขลา,9006,06-สะบ้าย้อย,900601,01-สะบ้าย้อย
รพสต.บางคนที,08531,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,5,75,75-สมุทรสงคราม,7502,02-บางคนที,750205,05-บางคนที
ศูนย์บริการสาธารณสุข เทศบาลเมืองแก่งคอย,12401,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,4,19,19-สระบุรี,1902,02-แก่งคอย,190201,01-แก่งคอย
รพ.ยะลาสิริรัตนรักษ์,77611,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,12,95,95-ยะลา,9501,01-เมืองยะลา,950101,01-สะเตง
สถาบันกัลยาณ์ราชนครินทร์,11597,รพ.นอกสป.สธ,11-โรงพยาบาล นอก สป.สธ.,,13,10,10-กรุงเทพมหานคร,1048,48-ทวีวัฒนา,104801,01-ทวีวัฒนา
รพ.ทศมินทราธิราช กรมแพทย์ทหารอากาศ,41414,อื่นๆ,12-โรงพยาบาล นอก สธ.,,13,10,10-กรุงเทพมหานคร,1036,36-ดอนเมือง,103602,02-สีกัน
เทศบาลเมืองสนั่นรักษ์,14806,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,4,13,13-ปทุมธานี,1303,03-ธัญบุรี,130306,06-บึงน้ำรักษ์
คลินิกหมอครอบครัวธนวิถี-เวชกรรม,77472,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,12,95,95-ยะลา,9501,01-เมืองยะลา,950101,01-สะเตง
รพ.มิราเคิลออฟไลฟ์,77486,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,13,10,10-กรุงเทพมหานคร,1030,30-จตุจักร,103005,05-จตุจักร
สถานพยาบาลเรือนจำอำเภอชัยบาดาล,40909,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,4,16,16-ลพบุรี,1604,04-ชัยบาดาล,160406,06-บัวชุม
ศูนย์บริการสุขภาพแบบครบวงจรแห่งภาคเหนือและอนุภูมิภาคลุ่มแม่น้ำโขง(MFU Wellness Center),41729,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,1,57,57-เชียงราย,5701,01-เมืองเชียงราย,570104,04-นางแล
สำนักงานสิ่งแวดล้อมภาคที่ 6,14668,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,4,12,12-นนทบุรี,1201,01-เมืองนนทบุรี,120102,02-ตลาดขวัญ
ศูนย์สุขภาพชุมชนตำบลลำปลายมาศ,77612,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,9,31,31-บุรีรัมย์,3110,10-ลำปลายมาศ,311001,01-ลำปลายมาศ
เขื่อนท่าทุ่งนา,24434,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,5,71,71-กาญจนบุรี,7101,01-เมืองกาญจนบุรี,710109,09-ช่องสะเดา
สถานพยาบาลเขื่อนสิริกิติ์,28813,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,2,53,53-อุตรดิตถ์,5303,03-ท่าปลา,530303,03-ผาเลือด
เขื่อนศรีนครินทร์,24433,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,5,71,71-กาญจนบุรี,7104,04-ศรีสวัสดิ์,710404,04-ท่ากระดาน
คลินิกหมอครอบครัวรพ.เพชรบูรณ์ สาขาคลองศาลา,99832,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,2,67,67-เพชรบูรณ์,6701,01-เมืองเพชรบูรณ์,670101,01-ในเมือง
รพสต.เจริญราษฎร์,24411,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,11,11-สมุทรปราการ,1106,06-บางเสาธง,110601,01-บางเสาธง
สำนักงานการฌาปณกิจสงเคราะห์ของกระทรวงสาธารณสุข,41853,ศูนย์วิชาการ,10-ศูนย์วิชาการ,,4,12,12-นนทบุรี,1201,01-เมืองนนทบุรี,120102,02-ตลาดขวัญ
รพ.สมเด็จพระสังฆราชญาณสังวรเพื่อผู้สูงอายุ จังหวัดชลบุรี,12442,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,6,20,20-ชลบุรี,2004,04-บางละมุง,200406,06-ห้วยใหญ่
ศูนย์บริการสาธารณสุขเทศบาลเมืองทุ่งสง 2,41857,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,11,80,80-นครศรีธรรมราช,8009,09-ทุ่งสง,800901,01-ปากแพรก
ศุนย์สุขภาพชุมชนเขตเมือง รพ.ศรีสะเกษ,77475,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,10,33,33-ศรีสะเกษ,3301,01-เมืองศรีสะเกษ,330102,02-เมืองใต้
รพสต.บ้านไม้สลี,10352,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2568,1,51,51-ลำพูน,5105,05-ทุ่งหัวช้าง,510503,03-ตะเคียนปม
รพ.ไทรงาม,11229,รพ.และศสช.ในรพ.สป,07-โรงพยาบาลชุมชน,,3,62,62-กำแพงเพชร,6202,02-ไทรงาม,620201,01-ไทรงาม
รพ.เสริมงาม,11148,รพ.และศสช.ในรพ.สป,07-โรงพยาบาลชุมชน,,1,52,52-ลำปาง,5204,04-เสริมงาม,520401,01-ทุ่งงาม
หน่วยบริการปฐมภูมิรพ.กงไกรลาศ,99789,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,2,64,64-สุโขทัย,6404,04-กงไกรลาศ,640402,02-บ้านกร่าง
รพสต.แม่ลาน,10011,รพสต.อบจ.,13-ศูนย์บริการสาธารณสุข,2567,12,94,94-ปัตตานี,9412,12-แม่ลาน,941201,01-แม่ลาน
ศูนย์บริการสาธารณสุขเทศบาลเมืองสีคิ้ว,77471,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,9,30,30-นครราชสีมา,3020,20-สีคิ้ว,302001,01-สีคิ้ว
ศูนย์บริการสาธารณสุขเทศบาลเมืองลำพูน,14433,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,1,51,51-ลำพูน,5101,01-เมืองลำพูน,510101,01-ในเมือง
รพสต.ยางช้าย,01396,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,4,15,15-อ่างทอง,1504,04-โพธิ์ทอง,150410,10-ยางช้าย
ศูนย์การแพทย์บางรัก,28777,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,13,10,10-กรุงเทพมหานคร,1028,28-สาทร,102802,02-ยานนาวา
รพสต.บ้านห้วยพลู,02253,รพสต.สธ.,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,6,24,24-ฉะเชิงเทรา,2406,06-พนมสารคาม,240601,01-เกาะขนุน
หน่วยไตเทียมมูลนิธิโรคไตแห่งประเทศไทย ณ ตึกศรีสังวาลย์ รพ.อานันทมหิดล,41410,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,4,16,16-ลพบุรี,1601,01-เมืองลพบุรี,160106,06-เขาสามยอด
ศูนย์ไตเทียมบ้านแพ้ว-เจริญกรุง รพ.บ้านแพ้ว(องค์การมหาชน),77607,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,13,10,10-กรุงเทพมหานคร,1031,31-บางคอแหลม,103101,01-บางคอแหลม
ศูนย์แพทย์ชุมชนคูหาสวรรค์,12431,อื่นๆ,13-ศูนย์บริการสาธารณสุข,,12,93,93-พัทลุง,9301,01-เมืองพัทลุง,930101,01-คูหาสวรรค์
รพสต.บ้านหนองโบสถ์ ,11988,อื่นๆ,18-โรงพยาบาลส่งเสริมสุขภาพตำบล,,9,30,30-นครราชสีมา,3002,02-ครบุรี,300204,04-โคกกระชาย
ศูนย์บริการสาธารณสุข 6 (วัดศาลาทอง) เทศบาลนครนครราชสีมา,77524,อื่นๆ,17-โรงพยาบาล/ศูนย์บริการสาธารณสุข สาขา,,9,30,30-นครราชสีมา,3001,01-เมืองนครราชสีมา,300101,01-ในเมือง
รพ.ศูนย์การแพทย์มหาวิทยาลัยแม่ฟ้าหลวง,41509,อื่นๆ,12-โรงพยาบาล นอก สธ.,,1,57,57-เชียงราย,5701,01-เมืองเชียงราย,570104,04-นางแล
หน่วยบริการปฐมภูมิกลุ่มงานเวชปฏิบัติครอบครัวและชุมชนรพ.กาบัง,99733,รพ.และศสช.ในรพ.สป,08-ศูนย์สุขภาพชุมชน ของ รพ.,,12,95,95-ยะลา,9507,07-กาบัง,950701,01-กาบัง
